player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,last_first
100001,Gardnar,Mulloy,R,1913-11-22,USA,185.0,Q54544,Mulloy G.
100002,Pancho,Segura,R,1921-06-20,ECU,168.0,Q54581,Segura P.
100003,Frank,Sedgman,R,1927-10-02,AUS,180.0,Q962049,Sedgman F.
100004,Giuseppe,Merlo,R,1927-10-11,ITA,,Q1258752,Merlo G.
100005,Richard,Gonzalez,R,1928-05-09,USA,188.0,Q53554,Gonzalez R.
100006,Grant,Golden,R,1929-08-21,USA,175.0,Q3115390,Golden G.
100007,Abe,Segal,L,1930-10-23,RSA,,Q1258527,Segal A.
100008,Kurt,Nielsen,R,1930-11-19,DEN,,Q552261,Nielsen K.
100009,Istvan,Gulyas,R,1931-10-14,HUN,,Q51066,Gulyas I.
100010,Luis,Ayala,R,1932-09-18,CHI,170.0,Q1275397,Ayala L.
100011,Torben,Ulrich,L,1928-10-04,DEN,180.0,Q785404,Ulrich T.
100012,Nicola,Pietrangeli,R,1933-09-11,ITA,178.0,Q709909,Pietrangeli N.
100013,Neale,Fraser,L,1933-10-03,AUS,185.0,Q715173,Fraser N.
100014,Trevor,Fancutt,R,1934-07-14,RSA,,Q3538577,Fancutt T.
100015,Sammy,Giammalva,R,1934-08-01,USA,180.0,Q963700,Giammalva S.
100016,Ken,Rosewall,R,1934-11-02,AUS,175.0,Q312728,Rosewall K.
100017,Mal,Anderson,R,1935-03-03,AUS,,Q963687,Anderson M.
100018,Barry,Mackay,R,1935-08-31,USA,190.0,Q1258939,Mackay B.
100019,Wieslaw,Gasiorek,R,1936-01-13,POL,,Q1258736,Gasiorek W.
100020,Alejandro,Olmedo,R,1936-03-24,PER,178.0,Q734544,Olmedo A.
100021,Ashley,Cooper,R,1936-09-15,AUS,178.0,Q712208,Cooper A.
100022,Roy,Emerson,R,1936-11-03,AUS,183.0,Q312545,Emerson R.
100023,Ramanathan,Krishnan,R,1937-04-11,IND,,Q1559952,Krishnan R.
100024,Jan Erik,Lundquist,R,1937-04-14,SWE,191.0,Q1341605,Lundquist J.
